Time,co2one,co2two,co2three,co2average,fuelOne,fuelTwo,fuelThree,fuelAverage
9:00,"133,093,224","137,702,148","129,232,491","133,342,621","38,208,384","39,260,521","39,260,521","38,909,809"
9:30,0,0,0,0,0,0,0,0
10:00,"922,780","1,152,486","530,887","868,718","381,962","353,388","353,386","362,912"
10:30,"3,573,423","2,001,250","2,585,639","2,720,104","1,945,861","1,603,183","1,720,183","1,756,409"
11:00,"4,033,176","4,327,820","3,883,081","4,081,359","2,364,449","2,435,594","2,318,594","2,372,879"
11:30,"3,197,661","2,924,477","2,735,639","2,952,592","1,299,847","1,093,363","1,093,364","1,162,191"
12:00,"5,373,858","5,929,968","4,754,881","5,352,902","1,648,824","1,970,638","1,541,978","1,720,480"
12:30,"8,859,726","9,147,682","9,308,202","9,105,203","2,656,788","2,661,711","3,050,979","2,789,826"
13:00,"8,662,130","8,798,674","8,692,777","8,717,860","3,005,027","2,861,113","2,992,817","2,952,986"
13:30,"15,526,518","9,268,168","13,797,566","12,864,084","4,885,676","3,115,339","4,627,302","4,209,439"
14:00,"23,961,258","33,457,831","24,862,871","27,427,320","6,877,879","9,804,015","7,561,781","8,081,225"
14:30,"7,115,069","6,304,608","6,136,628","6,518,768","2,667,538","1,970,797","2,322,621","2,320,319"
15:00,"4,526,012","4,467,996","2,814,406","3,936,138","1,695,270","1,841,739","1,146,215","1,561,075"
15:30,"7,504,658","5,956,604","8,771,316","7,410,859","2,389,637","2,275,394","3,453,558","2,706,196"
16:00,"16,360,055","8,906,523","7,900,619","11,055,732","5,344,825","2,996,923","2,653,457","3,665,068"
16:30,"57,007,776","31,405,502","62,688,115","50,367,131","16,187,090","19,479,750","18,678,432","18,115,091"
17:00,"5,517,619","35,000,000","5,780,282","15,432,634","2,166,080",0,"2,415,398","1,527,159"
17:30,"5,667,265","5,820,211","5,106,343","5,531,273","1,880,335","2,292,807","2,155,197","2,109,446"
18:00,"8,159,889","15,426,867","8,434,611","10,673,789","2,638,758","4,988,974","3,025,501","3,551,078"
18:30,"15,664,452","2,574,067","11,752,115","9,996,878","4,977,656","757,044","3,920,821","3,218,507"
19:00,"7,439,036","16,192,767","11,813,875","11,815,226","2,249,721","4,921,974","3,878,336","3,683,344"
19:30,"21,721,241","25,540,312","17,497,309","21,586,287","6,560,804","7,706,665","5,438,714","6,568,728"
20:00,"8,831,313","10,008,568","5,908,934","8,249,605","3,174,627","3,627,655","2,153,153","2,985,145"
20:30,"7,281,869","4,304,013","8,841,540","6,809,141","2,299,856","1,246,002","3,218,625","2,254,828"
21:00,"4,480,367","3,622,207","3,089,323","3,730,632","1,805,389","1,501,354","1,602,555","1,636,433"
21:30,"5,568,370","6,789,578","4,142,729","5,500,226","2,070,782","2,523,271","1,303,530","1,965,861"
22:00,"5,969,359","5,926,690","7,985,293","6,627,114","2,201,158","1,967,663","2,809,711","2,326,177"
22:30,"4,864,653","8,597,014","4,570,813","6,010,827","1,680,456","2,957,323","1,840,517","2,159,432"
23:00,"8,666,142","3,988,544","8,808,817","7,154,501","2,782,809","1,322,768","3,113,979","2,406,519"
23:30,"548,488","15,408,321","16,713,022","10,889,944","133,114","4,944,720","5,283,636","3,453,823"
0:00,"86,048,332",0,"64,103,123","50,050,485","24,924,900",0,"19,584,432","14,836,444"
0:30,0,"98,580,204","22,936,208","40,505,471",0,"27,928,544","7,138,474","11,689,006"
1:00,"21,568,699","496,017",0,"7,354,905","6,682,620","191,091",0,"2,291,237"
